title,description,identifier,license,license_name,issued,modified,publisher,distribution
Community amateur sports clubs (CASCs) registered with HMRC,Check which sports clubs are registered with HMRC as community amateur sports clubs as at April 2018.,casc,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Open Government Licence v3.0,,,"{'name': 'HMRC', 'website': 'https://www.gov.uk/government/organisations/hm-revenue-customs'}","[{'downloadURL': 'https://www.gov.uk/government/publications/community-amateur-sports-clubs-casc-registered-with-hmrc--2/w-x-y-z', 'accessURL': 'https://www.gov.uk/government/publications/community-amateur-sports-clubs-casc-registered-with-hmrc--2', 'title': 'Community amateur sports clubs (CASCs) registered with HMRC - W, X, Y, Z'}]"
Community amateur sports clubs (CASCs) registered with HMRC,Check which sports clubs are registered with HMRC as community amateur sports clubs as at April 2018.,casc,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Open Government Licence v3.0,,,"{'name': 'HMRC', 'website': 'https://www.gov.uk/government/organisations/hm-revenue-customs'}","[{'downloadURL': 'https://www.gov.uk/government/publications/community-amateur-sports-clubs-casc-registered-with-hmrc--2/c', 'accessURL': 'https://www.gov.uk/government/publications/community-amateur-sports-clubs-casc-registered-with-hmrc--2', 'title': 'Community amateur sports clubs (CASCs) registered with HMRC - C'}]"
Community amateur sports clubs (CASCs) registered with HMRC,Check which sports clubs are registered with HMRC as community amateur sports clubs as at April 2018.,casc,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Open Government Licence v3.0,,,"{'name': 'HMRC', 'website': 'https://www.gov.uk/government/organisations/hm-revenue-customs'}","[{'downloadURL': 'https://www.gov.uk/government/publications/community-amateur-sports-clubs-casc-registered-with-hmrc--2/a', 'accessURL': 'https://www.gov.uk/government/publications/community-amateur-sports-clubs-casc-registered-with-hmrc--2', 'title': 'Community amateur sports clubs (CASCs) registered with HMRC - A'}]"
Community amateur sports clubs (CASCs) registered with HMRC,Check which sports clubs are registered with HMRC as community amateur sports clubs as at April 2018.,casc,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Open Government Licence v3.0,,,"{'name': 'HMRC', 'website': 'https://www.gov.uk/government/organisations/hm-revenue-customs'}","[{'downloadURL': 'https://www.gov.uk/government/publications/community-amateur-sports-clubs-casc-registered-with-hmrc--2/numerical', 'accessURL': 'https://www.gov.uk/government/publications/community-amateur-sports-clubs-casc-registered-with-hmrc--2', 'title': 'Community amateur sports clubs (CASCs) registered with HMRC - Numerical'}]"
Community amateur sports clubs (CASCs) registered with HMRC,Check which sports clubs are registered with HMRC as community amateur sports clubs as at April 2018.,casc,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Open Government Licence v3.0,,,"{'name': 'HMRC', 'website': 'https://www.gov.uk/government/organisations/hm-revenue-customs'}","[{'downloadURL': 'https://www.gov.uk/government/publications/community-amateur-sports-clubs-casc-registered-with-hmrc--2/t-u-v', 'accessURL': 'https://www.gov.uk/government/publications/community-amateur-sports-clubs-casc-registered-with-hmrc--2', 'title': 'Community amateur sports clubs (CASCs) registered with HMRC - T, U, V'}]"
Community amateur sports clubs (CASCs) registered with HMRC,Check which sports clubs are registered with HMRC as community amateur sports clubs as at April 2018.,casc,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Open Government Licence v3.0,,,"{'name': 'HMRC', 'website': 'https://www.gov.uk/government/organisations/hm-revenue-customs'}","[{'downloadURL': 'https://www.gov.uk/government/publications/community-amateur-sports-clubs-casc-registered-with-hmrc--2/s', 'accessURL': 'https://www.gov.uk/government/publications/community-amateur-sports-clubs-casc-registered-with-hmrc--2', 'title': 'Community amateur sports clubs (CASCs) registered with HMRC - S'}]"
Community amateur sports clubs (CASCs) registered with HMRC,Check which sports clubs are registered with HMRC as community amateur sports clubs as at April 2018.,casc,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Open Government Licence v3.0,,,"{'name': 'HMRC', 'website': 'https://www.gov.uk/government/organisations/hm-revenue-customs'}","[{'downloadURL': 'https://www.gov.uk/government/publications/community-amateur-sports-clubs-casc-registered-with-hmrc--2/l-m-n', 'accessURL': 'https://www.gov.uk/government/publications/community-amateur-sports-clubs-casc-registered-with-hmrc--2', 'title': 'Community amateur sports clubs (CASCs) registered with HMRC - L, M, N'}]"
Community amateur sports clubs (CASCs) registered with HMRC,Check which sports clubs are registered with HMRC as community amateur sports clubs as at April 2018.,casc,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Open Government Licence v3.0,,,"{'name': 'HMRC', 'website': 'https://www.gov.uk/government/organisations/hm-revenue-customs'}","[{'downloadURL': 'https://www.gov.uk/government/publications/community-amateur-sports-clubs-casc-registered-with-hmrc--2/b', 'accessURL': 'https://www.gov.uk/government/publications/community-amateur-sports-clubs-casc-registered-with-hmrc--2', 'title': 'Community amateur sports clubs (CASCs) registered with HMRC - B'}]"
Community amateur sports clubs (CASCs) registered with HMRC,Check which sports clubs are registered with HMRC as community amateur sports clubs as at April 2018.,casc,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Open Government Licence v3.0,,,"{'name': 'HMRC', 'website': 'https://www.gov.uk/government/organisations/hm-revenue-customs'}","[{'downloadURL': 'https://www.gov.uk/government/publications/community-amateur-sports-clubs-casc-registered-with-hmrc--2/o-p-q-r', 'accessURL': 'https://www.gov.uk/government/publications/community-amateur-sports-clubs-casc-registered-with-hmrc--2', 'title': 'Community amateur sports clubs (CASCs) registered with HMRC - O, P, Q, R'}]"
Community amateur sports clubs (CASCs) registered with HMRC,Check which sports clubs are registered with HMRC as community amateur sports clubs as at April 2018.,casc,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Open Government Licence v3.0,,,"{'name': 'HMRC', 'website': 'https://www.gov.uk/government/organisations/hm-revenue-customs'}","[{'downloadURL': 'https://www.gov.uk/government/publications/community-amateur-sports-clubs-casc-registered-with-hmrc--2/h-i-j-k', 'accessURL': 'https://www.gov.uk/government/publications/community-amateur-sports-clubs-casc-registered-with-hmrc--2', 'title': 'Community amateur sports clubs (CASCs) registered with HMRC - H, I, J, K'}]"
Community amateur sports clubs (CASCs) registered with HMRC,Check which sports clubs are registered with HMRC as community amateur sports clubs as at April 2018.,casc,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Open Government Licence v3.0,,,"{'name': 'HMRC', 'website': 'https://www.gov.uk/government/organisations/hm-revenue-customs'}","[{'downloadURL': 'https://www.gov.uk/government/publications/community-amateur-sports-clubs-casc-registered-with-hmrc--2/d-e-f-g', 'accessURL': 'https://www.gov.uk/government/publications/community-amateur-sports-clubs-casc-registered-with-hmrc--2', 'title': 'Community amateur sports clubs (CASCs) registered with HMRC - D, E, F, G'}]"
Charity Commission for Northern Ireland charity search,,ccni,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Open Government Licence v3.0,,2020-04-20T22:28:49.892923,"{'name': 'Charity Commission for Northern Ireland', 'website': 'https://www.education-ni.gov.uk/'}","[{'downloadURL': 'https://www.charitycommissionni.org.uk/umbraco/api/charityApi/ExportSearchResultsToCsv/?include=Linked&include=Removed', 'accessURL': 'http://www.charitycommissionni.org.uk/charity-search/', 'title': 'Charity Commission for Northern Ireland charity search'}]"
Government organisations on GOV.UK register,"Government departments, agencies or teams that are on the GOV.UK website",gor,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Open Government Licence v3.0,,2020-04-20T22:29:10.327973,"{'name': 'Cabinet Office', 'website': 'https://www.gov.uk/government/organisations/cabinet-office'}","[{'downloadURL': 'https://government-organisation.register.gov.uk/records.csv?page-size=5000', 'accessURL': 'https://www.registers.service.gov.uk/registers/government-organisation/', 'title': 'Government organisations on GOV.UK register'}]"
